zipcode,average_assessment
0,323270.33
0,19800
0,760200
0,379932.42
0000,1636500
00000,303785.86
0-006,420100
0-007,381733
0-024,362200
01231,46800
0-162,485800
0-217,440000
0-220,1800
0-350,375200
0-372,867800
04040,227600
0-430,328300
0-433,433167
0-492,373400
0-494,383033
0-560,389000
0-630,175000
0-673,351600
0-683,405500
0-686,533900
07016,164733
0710,2572000
0719,17727433
0-923,201700
0-944,397800
0-972,274033
10787,455167
11238,203900
1133,262150
11355,43600
12061,9500
12110,229600
12144,327100
1222,0
12236,134000
12442,267200
12787,243133
14075,192400
16428,373400
1647,1200
16648,362900
17214,587983.5
17231,447500
17320,9600
17327,1100
17340,390250
17349,4700
1742-,135400
19177,400
19362,1600
19406,100
19711,52405.56
19901,103850
19964,66800
19966,500
19973,177341.67
19975,27150
2000-,3000
20002,500
20003,187300
20005,541400
20007,668600
20011,247200
20015,241700
20019,170100
20031,143800
20103,258700
20108,267433
20130,728100
20142,192671.43
20143,681000
20144,512600
20145,296133
20148,523950
20151,155250
20154,0
20160,0
20166,799633
20169,220000
20171,309200
20174,390600
20184,1184500
20185,1300000
20186,235700
20190,422650
20193,279250
20206,773600
20208,20000
20234,196167
20256,117900
20410,278200
20460,0
20500,240800
20523,559800
20574,355200
20584,2007100
20600,472100
20601,416111.16
20602,421434.78
20603,436229.4
20604,535350
20606,343530.46
20607,381238.02
20608,180855.48
20609,341510.6
20610,380800
20611,310607.08
20612,321841.91
20613,399886.07
20615,380497.84
20616,314346.81
20617,419196.15
20618,268383.02
20619,383220.95
20620,344274.34
20621,262994.13
20622,381261.02
20623,457954.82
20624,345045.89
20625,311208.56
20626,278429.48
20628,237945.69
20629,300800
20630,437362.7
20632,319165.9
20634,309759.81
20635,268515.29
20636,411257.72
20637,426146.99
20639,430183.23
20640,503156.69
20643,247860
20644,46491.75
20645,412735.53
20646,400757.02
20647,52800
20650,443778.57
20653,361727.44
20656,303622.68
20657,296930.92
20658,319335.55
20659,321999.71
20660,287557.5
20661,311978.95
20662,267811.39
20664,348741.27
20666,251800
20667,278372.16
20670,437600
20672,417667
20673,412011.22
20674,349349.64
20675,426643.66
20676,327060.8
20677,395396.38
20678,455225.89
20679,439800
20680,341824.33
20682,341404.57
20684,370050.82
20685,337537.72
20686,532525.26
20687,253933.21
20688,404289.83
20689,429267.84
2069,234800
20690,427717.83
20692,372831.08
20693,417048.31
20695,387507.53
20701,9154150.84
20702,708467
20705,569762.24
20706,505053.31
20707,540943.61
20708,568423.82
20709,448900
20710,492908.08
20711,473482.49
20712,566883.91
20714,349403.23
20715,457644.54
20716,465088.82
20720,494665.93
20721,547681.41
20722,383744.56
20723,609157.68
20724,474177.65
20727,557633
20729,553600
20730,441000
20732,379509.63
20733,344725.96
20734,517952.38
20735,389529.12
20736,486273.03
20737,543895.55
20738,10100
20740,711521.25
20742,48978437.5
20743,358480.41
20744,386879.2
20745,728949.88
20746,510734.37
20747,407321.48
20748,373713.22
20750,355600
20751,420861.79
20754,527384.56
20755,34603158.33
20758,377163.98
20759,983466.59
20760,587009.57
20762,12626752.94
20763,866785.17
20764,347434.93
20765,380226.74
20769,507210.94
20770,485473.22
20771,134353050
20772,417403.48
20773,580300
20774,505906.39
20776,537421.82
20777,818203.01
20778,488058.23
20779,437299.84
20781,547061.45
20782,614406.9
20783,427499.87
20784,382825.23
20785,551673.01
20786,649633
20787,677700
20792,0
20794,886194.4
20795,849833
20801,740133
20804,690000
20805,936500
20806,214583.25
2081,655450
20810,17903716.67
20812,1124551.28
20814,1386265.39
20815,1250793.61
20816,1191976.24
20817,1240309.64
20818,1061527.05
20820,597619
20821,238100
20822,240450
20830,681000
20831,504600
20832,612120.15
20833,674434.19
20834,1303300
20835,237950
20837,549122.93
20838,446967.44
20839,369642.86
20841,578056.83
20842,553095.98
20845,1259200
20847,490100
20849,74481200
2085,355850
20850,1141466.56
20851,571971.32
20852,992975.38
20853,609032.11
20854,1245590.19
20855,755513.25
20856,200
20859,1780700
20860,1022501.78
20861,776275.32
20862,690775.25
20863,1973914.81
20864,3979000
20866,491232.01
20867,634533
20868,654000.94
20871,579754.42
20872,476385.17
20873,839400
20874,525694.61
20875,838290.57
20876,601246.2
20877,783900.59
20878,751648.55
20879,559718.54
20880,488543.64
20882,629545.95
20883,736100
20884,158333
20885,310083.5
20886,340794.96
20887,9479200
20891,834900
20892,167155666.7
20894,0
20895,766881.34
20896,892447.2
20901,568409.64
20902,586926.04
20903,709600.72
20904,735472.01
20905,582254.71
20906,461053.73
20908,629340
20910,993797.01
20912,655071.11
20913,575450
20916,693900
20940,773633
20954,1566200
20960,312400
20965,238000
20966,180000
20967,405600
20974,800
20976,381789
20977,377633
20985,2932650
21001,425475.94
21003,0
21005,266267
21009,328854.63
21010,112700
21012,502779.12
21013,486228.59
21014,440005.62
21015,426456.49
21016,606333
21017,439908.12
21018,277515.38
21020,783550
21021,405779.8
21022,1774826.32
21023,573102.04
21027,244016.6
21028,407595.01
21029,878613.16
21030,642457.5
21031,6360287.5
21032,519373.79
21034,357031.77
21035,654373.27
21036,824587.73
21037,540678.33
21039,1450300
21040,319101.56
21041,870306.6
21042,655382.83
21043,585045.07
21044,668684.18
21045,517736.19
21046,729252.26
21047,481411.21
21048,492547.91
21050,419766.1
21051,472091.67
21052,288808.13
21053,411248.77
21054,640956.47
21055,222075
21056,1924162.55
21057,488631.97
21060,392248.23
21061,429177.98
21062,700
21071,390445.51
21072,131600
21074,393320.83
21075,640425.09
21076,818957.52
21077,712400.37
21078,312519.01
21079,562200
2108,233800
21080,203700
21082,452353.91
21083,421433.38
21084,361967.69
21085,276782.66
21087,439682.68
21090,744495.66
21093,542350.08
21094,319000
21096,381800
21097,396016.5
21098,368700
21101,388050
21102,381016.39
21104,585721.11
21105,313593.33
21106,633922.47
21107,400660
21108,529399.06
21109,358500
2111,803200
21111,528117.7
21112,0
21113,509520.31
21114,459718.46
21115,331460
21116,355583.5
21117,491982.34
21119,176167
21120,468918.15
21121,539773.4
21122,386942.07
21123,0
21125,333816.5
21126,152350
21127,203622.33
21128,416042.61
2113,231500
21130,4872608.19
21131,605492.57
21132,327811.22
21133,298821.79
21136,374740.21
21137,234200
21138,280983.5
21139,322100
21140,537331.72
21144,454386.7
21146,596200.76
21150,1317917.31
21151,227100
21152,569877.73
21153,964504.01
21154,332215.84
21155,383641.85
21156,349790.4
21157,466618.71
21158,371581.98
21159,475300
2116,0
21160,283257.46
21161,362122.07
21162,419822.05
21163,472426.61
21165,448767
2117,110550
21170,433100
21171,501346.15
21174,443600
21175,278300
21176,392666.71
21177,700
21179,438400
21184,285000
21186,224000
21200,0
21201,1335594.45
21202,875350.08
21203,255579.19
21204,996716.16
21205,382875.67
21206,188145.72
21207,248629.04
21208,397115.87
21209,429417.07
21210,633820.95
21211,350614.44
21212,323843.89
21213,102592.14
21214,198220.24
21215,206595.62
21216,159411.31
21217,132684.9
21218,282490.4
21219,616975.1
2122,181933.5
21220,365711.28
21221,286968.71
21222,208824.04
21223,80785.9
21224,360765.42
21225,228142.11
21226,562022.01
21227,301574.02
21228,392384.74
21229,204953.11
21230,456004.88
21231,449009.69
21233,7041140
21234,286418.31
21235,5861152.29
21236,395252.07
21237,366254.57
21238,504366.67
21239,283695.06
21240,9968256
21241,199600
21243,324000
21244,337878.5
21250,70550
21265,369400
2127,292058.5
21270,790000
21271,609400
2128,600
21282,100360
21283,404900
21284,3987833.25
21285,271566.67
21286,497361.02
21287,374767
21291,692367
21298,1202100
2132-,75300
21334,276900
21338,342500
21361,146100
21401,836545.79
21402,1060825.53
21403,639851.05
21404,732216.5
21405,992791.22
21409,556659.68
21463,619600
21470,248850
21502,156413.75
21505,73300
21513,79600
2152,65800
21520,179630.6
21521,72142.19
21522,170439.75
21523,65846.5
21524,115265.76
21528,98519.03
21529,101718.59
21530,140439.9
21531,97503.86
21532,219671.07
21535,268510
21536,159178.33
21538,48770.95
21539,91227.88
21540,53923.29
21541,389201.5
21542,93180.37
21543,96623.38
21545,74766.5
21546,32137.68
21550,232449.58
21555,93067.3
21556,120220
21557,113993.1
21559,278700
21560,76057.14
21561,391974.36
21562,80007.69
21570,725300
21579,513700
21580,312000
21583,373233
21601,473228.8
21604,927200
21607,243731.65
21609,230688.89
21610,264443.89
21611,60066.5
21612,739612.38
21613,205551.74
21615,337000
21616,103700
21617,427895.09
21618,13400
21619,454437.13
2162-,440450
21620,332972.34
21622,204848.52
21623,286058.38
21624,536077.78
21625,254271.08
21626,101010.26
21627,87129.61
21628,228473.42
21629,296153.7
21631,229970.59
21632,178511.22
21633,340667
21634,218741.86
21635,311977.45
21636,199053.21
21637,292963.05
21638,446663.08
21639,212351.9
21640,215989.54
21641,217504.23
21642,134761.42
21643,166120.19
21644,207261.22
21645,371473.73
21646,241345.1
21647,428615.52
21648,215592.93
21649,175597.76
21650,246791.43
21651,237681.2
21652,563404.42
21653,398660
21654,765330.74
21655,239222.7
21657,321400.35
21658,659782.68
21659,178058.51
21660,257785.34
21661,279006.85
21662,819848.12
21663,690696.37
21664,149845.17
21665,595730.22
21666,508392.02
21667,213267.58
21668,270828.08
21669,261946.37
21670,63100
21671,318973.25
21672,75092.38
21673,328200.74
21674,302258.25
21675,95261.9
21676,369749.23
21677,362340.43
21678,307145.51
21679,673057.41
21689,95983.38
217,713300
217,364900
2170,683600
21700,458033.33
21701,501704.12
21702,448765.18
21703,432405.36
21704,634767.45
21705,433247.71
21706,116700
21707,452200
21708,191166.5
2171,125000
21710,495608.21
21711,237979.12
21712,1026200
21713,310534.56
21714,432656.84
21715,236877.79
21716,288191.43
21717,323279.78
21718,338453.33
21719,199291.36
2172,0
21720,208248.61
21721,147551.67
21722,263784.95
21723,706284.69
21725,346828.96
21727,289843.24
21728,310833
21732,207950
21733,315135.17
21734,201797.85
21735,315780
21736,119400
21737,940255.95
21738,806949.12
21739,21700
21740,391196.26
21741,213846.67
21742,347355.98
21743,270333.33
21744,344250
21746,52244300
21750,175471.56
21751,544200
21753,207000
21754,554228.26
21755,417963.94
21756,313548.92
21757,388488.47
21758,324457.25
21759,251670
21760,159833
21762,320641.07
21764,240555.58
21765,521823.47
21766,97757.53
21767,238691.18
21768,280629.12
21769,483727.42
21770,507847
21771,485653.78
21772,331366.67
21773,418371.77
21774,456230.91
21775,322840
21776,368961.2
21777,359070.51
21778,337826.01
21779,300945.57
2178,315267
21780,285904.26
21781,502402.36
21782,238490.66
21783,258116.89
21784,468017.32
21785,247650
21786,398345.88
21787,318871.5
21788,327817.75
21790,451290.2
21791,341975.26
21792,312450
21793,403712.54
21794,748053.53
21795,394449.25
21796,315400
21797,618973.44
21798,426013.27
21800,365200
21801,296476.37
21802,252483.33
21803,260530
21804,230700.72
21805,6843300
21810,196233.5
21811,328987.16
21812,363933.33
21813,261525.33
21814,89075.5
21816,193989
21817,140075.21
21819,269900
21820,507167
21821,177536.17
21822,178473.15
21823,2300
21824,97337.5
21826,176463.87
21829,112418.5
21830,200359.38
21831,291600
21834,110500
21835,329235.18
21836,67928.57
21837,138111.13
21838,164663.73
21840,108538.44
21841,234906.55
21842,410802.05
21843,469450.26
21845,47700
21849,170726.93
21850,155159.39
21851,168574.65
21852,208100
21853,185378.42
21854,399900
21856,117441.39
21858,44311
21859,274800
21861,100585.89
21862,182756.89
21863,203291.72
21864,114778.64
21865,80324.5
21866,88050
21867,83040.82
21869,148298.3
21871,349869.59
21872,196710.05
21874,158639.48
21875,189038.33
21882,400
21889,23500
21891,265800
2190-,77000
21901,372019.47
21902,37562722.33
21903,532372.74
21904,324480.89
21910,7433.33
21911,286029.02
21912,374864.41
21913,201722.58
21914,234266.21
21915,269192.75
21916,471630.43
21917,275504.56
21918,256297.51
21919,135100.64
21920,250267.19
21921,304141.42
21929,178450
21930,452223.85
21935,517550
21941,278267
21949,210600
21971,497566.5
21975,834133
21981,20300
21990,8850
21993,5600
22003,416800
22061,367500
22075,3900
22101,21233
22102,759400
22121,150333
22161,452400
22163,350233
22170,333400
22171,374500
22177,667000
22191,337700
22391,206900
22443,1778600
22469,240600
22485,693400
22640,72300
23060,390367
23234,173116.5
23261,1158800
23507,265667
23984,255000
24012,296967
24200,35400
24629,741800
24662,514000
24842,265767
25115,137233
25161,45600
25401,177300
25424,188333
26002,479900
26020,145366.67
26024,235100
26120,30700
26132,186500
26171,66200
26178,213200
2636-,10531000
26434,33500
2659,394000
2740-,198850
2754,298000
27718,624200
28032,1045300
28142,108750
28209,159100
28278,297200
29010,1900
29040,117033
29060,303700
29121,338450
29192,712600
29636,332200
29715,239300
29877,476233
30328,2498900
30518,345600
31030,4500
31043,237000
31631,235800
31701,241600
32074,623500
32952,383800
33330,190100
33541,289867
4119,404700
43840,208500
44023,253000
471,781000
50310,389500
54093,465400
60303,258700
7079-,220800
7112-,30600
71280,254900
72500,616100
7505,192000
75080,164600
75137,369600
76109,963400
76544,486000
78550,151900
80924,208400
81254,369800
8540-,297933
89257,354800
9159-,336300
92604,212900
93117,282600
93301,285600
96301,578067
96328,438400
98004,408467
98125,255033.33
988,1315100
,497825.19